"kom" "kom1" "dot"
"1" 2.8076651651198 4.78099785915 1.49295206005373
"2" 2.84645168860698 5.01058841757025 1.53377281416646
"3" 3.12109732843063 5.17516843402989 1.57946084486856
"4" 3.18479013236934 5.28876700714527 1.80576265316963
"5" 3.19413181896006 5.32729442197515 1.519590441287
"6" 3.29801732293511 5.34418652306194 1.8734219153003
"7" 3.47127086088357 5.44034318119621 1.93307692784082
"8" 3.53286092863745 5.52534053750502 1.97223459522307
"9" 3.60030796940919 5.54473036092291 1.71459088267877
"10" 3.61668111852956 5.56979870391776 1.49005052628421
"11" 3.61796329514451 5.60521115309926 1.7583212526529
"12" 3.61988345076302 5.61810261967142 1.72774709067025
"13" 3.62440174305706 5.61831431519292 1.57049622234019
"14" 3.63189230912802 5.6315246829353 1.70296932276944
"15" 3.64030282853007 5.64708743652027 1.76524170243654
"16" 3.65020601976877 5.66432927008146 1.96036951109721
"17" 3.70649352787514 5.66766203995162 1.52374187373775
"18" 3.72687666594563 5.68481990569813 1.75452078916376
"19" 3.77975060837678 5.71849765090033 2.07820623727525
"20" 3.81547279029461 5.72326872153173 1.6833644703209
"21" 3.83848305910728 5.73437158788053 1.73591055082643
"22" 3.8478190806396 5.73538016552553 1.99873462422417
"23" 3.86468428047857 5.74186468932077 1.89178320391317
"24" 3.88324481003419 5.7753553113734 1.96501581645309
"25" 3.92723431969221 5.80166322975057 1.81551423779474
"26" 3.93693871593863 5.80654991088924 1.7911141615988
"27" 3.95237272895261 5.81745711010104 2.03826196634569
"28" 3.97491200740102 5.85525018604621 1.92266499671258
"29" 3.98066694223934 5.85628841569233 2.07681480858574
"30" 3.98248419844042 5.88177267412515 1.85629430021525
"31" 3.98997159340992 5.9425585069424 1.86805986302613
"32" 4.00106987365492 5.94259922994361 1.74514160580949
"33" 4.09581519448029 5.9845652896547 1.81001648418097
"34" 4.11428533962426 5.99527207298688 2.10556798367433
"35" 4.15056077217024 5.99640811531463 2.40546580915578
"36" 4.15711181745346 6.02227994114402 2.22061531485079
"37" 4.17635052654525 6.03608295090695 2.02093787280384
"38" 4.18255178387189 6.0392140336894 2.27258936116331
"39" 4.18767365318558 6.05916265595192 2.03522156208346
"40" 4.26518911471837 6.11470954161777 1.99141398566701
"41" 4.33543400205332 6.27204349667854 2.30940037321162
"42" 4.47246037883352 6.28346832894209 2.053235904398
"43" 4.53852856450523 6.29695859659951 2.25197041140239
"44" 4.55875623215412 6.36676738548377 2.27480392374216
"45" 4.60652778966297 6.56240988613065 2.39917445353248
"46" 4.63173651381994 6.59472483252936 2.39635658078729
"47" 4.7433290134058 6.72273701133218 2.41663296903896
"48" 4.82027533981626 6.81640842438631 2.68440466316169
"49" 4.86329771404368 6.8771734970989 2.53816852420827
"50" 4.94873697200754 7.11505140714175 2.49654347694843
